image,straight,wave,natural
スクリーンショット 2026-01-17 121237.png,0.55,0.4,0.8
スクリーンショット 2026-01-17 121244.png,0.35,0.75,0.65
スクリーンショット 2026-01-17 121302.png,0.85,0.4,0.7
スクリーンショット 2026-01-17 110844.png,0.85,0.35,0.7
スクリーンショット 2026-01-17 110817.png,0.6,0.8,0.55
スクリーンショット 2026-01-17 110838.png,0.9,0.4,0.65
スクリーンショット 2026-01-17 114423.png,0.5,0.85,0.55
スクリーンショット 2026-01-17 114436.png,0.45,0.9,0.55
スクリーンショット 2026-01-17 114452.png,0.45,0.7,0.8
スクリーンショット 2026-01-17 111419.png,0.8,0.45,0.7
スクリーンショット 2026-01-17 111818.png,0.9,0.4,0.65
スクリーンショット 2026-01-17 112738.png,0.55,0.8,0.6
スクリーンショット 2026-01-17 112954.png,0.75,0.5,0.7
スクリーンショット 2026-01-17 114446.png,0.4,0.85,0.65
スクリーンショット 2026-01-17 114725.png,0.5,0.8,0.6
スクリーンショット 2026-01-17 115027.png,0.4,0.85,0.6
スクリーンショット 2026-01-17 115344.png,0.45,0.8,0.7
スクリーンショット 2026-01-17 115521.png,0.55,0.85,0.6
スクリーンショット 2026-01-17 120256.png,0.45,0.85,0.55
スクリーンショット 2026-01-17 121308.png,0.4,0.55,0.85
スクリーンショット 2026-01-17 121958.png,0.75,0.45,0.85
スクリーンショット 2026-01-17 122043.png,0.55,0.7,0.8
スクリーンショット 2026-01-17 122726.png,0.65,0.75,0.7
スクリーンショット 2026-01-17 123155.png,0.8,0.5,0.75
スクリーンショット 2026-01-17 123230.png,0.6,0.45,0.85
スクリーンショット 2026-01-17 110850.png,0.85,0.4,0.75
スクリーンショット 2026-01-17 110859.png,0.9,0.45,0.7
スクリーンショット 2026-01-17 111159.png,0.55,0.8,0.6
スクリーンショット 2026-01-17 113713.png,0.85,0.5,0.65
スクリーンショット 2026-01-17 113936.png,0.7,0.75,0.65
スクリーンショット 2026-01-17 120349.png,0.9,0.4,0.75
スクリーンショット 2026-01-17 120549.png,0.45,0.85,0.55
スクリーンショット 2026-01-17 120641.png,0.65,0.8,0.6
スクリーンショット 2026-01-17 123426.png,0.55,0.5,0.85
スクリーンショット 2026-01-17 123536.png,0.5,0.7,0.8
スクリーンショット 2026-01-17 132022.png,0.85,0.55,0.6
スクリーンショット 2026-01-17 140510.png,0.7,0.8,0.55
スクリーンショット 2026-01-17 140652.png,0.9,0.4,0.75
スクリーンショット 2026-01-17 141324.png,0.8,0.55,0.7
スクリーンショット 2026-01-17 152347.png,0.7,0.45,0.85
