image,straight_true,wave_true,natural_true,straight_pred,wave_pred,natural_pred,mae,rmse
スクリーンショット 2026-01-17 121237.png,0.55,0.4,0.8,0.49534270731259505,0.9441776320900884,0.7004796605973165,0.23278508806005896,0.32094704281024183
スクリーンショット 2026-01-17 121244.png,0.35,0.75,0.65,0.5638451478813715,0.7490823416786551,0.8270725104399734,0.13061177221422995,0.16029687387543867
スクリーンショット 2026-01-17 121302.png,0.85,0.4,0.7,0.7492558736988559,0.7561010638079106,0.6346430624932333,0.17406737587194043,0.2169707168487412
スクリーンショット 2026-01-17 110844.png,0.85,0.35,0.7,0.7915783550696314,0.7745718311502839,0.5738498137800847,0.20304788743352262,0.25793293565446723
スクリーンショット 2026-01-17 110817.png,0.6,0.8,0.55,0.6700696128434179,0.7584332910083236,0.7114970961482585,0.09104447266111763,0.10443315885411274
スクリーンショット 2026-01-17 110838.png,0.9,0.4,0.65,0.8251372876427512,0.7506566156109269,0.564206096746322,0.1704377437406179,0.21285760624471858
スクリーンショット 2026-01-17 114423.png,0.5,0.85,0.55,0.6768023602913258,0.7240196841701084,0.7391779555385657,0.16398687721992766,0.16625122901093045
スクリーンショット 2026-01-17 114436.png,0.45,0.9,0.55,0.555016563298892,0.9345340982095848,0.6504493384915232,0.07999999999999997,0.08623833662133494
スクリーンショット 2026-01-17 114452.png,0.45,0.7,0.8,0.5021967953037142,0.9389834347569134,0.6988197699393723,0.13078682004041844,0.15283436184675148
スクリーンショット 2026-01-17 111419.png,0.8,0.45,0.7,0.8475537143736802,0.7647921499232488,0.527654135703071,0.17823057619795266,0.20901240022567255
スクリーンショット 2026-01-17 111818.png,0.9,0.4,0.65,0.8191652903689104,0.7551032121808823,0.5657314974502073,0.17340214145392152,0.2158191543123607
スクリーンショット 2026-01-17 112738.png,0.55,0.8,0.6,0.6682591293089919,0.7492424901359956,0.7224983805550125,0.09717167324266958,0.10257907471980827
スクリーンショット 2026-01-17 112954.png,0.75,0.5,0.7,0.8389143809392838,0.7499456134240936,0.5511400056366227,0.1625733295755849,0.17563017463752942
スクリーンショット 2026-01-17 114446.png,0.4,0.85,0.65,0.8202623251416987,0.760280589009035,0.5594570858492662,0.20017488342779918,0.2535534223426296
スクリーンショット 2026-01-17 114725.png,0.5,0.8,0.6,0.49881267019044717,0.9279956785181122,0.7131916512914407,0.08079155320636855,0.0986520035165221
スクリーンショット 2026-01-17 115027.png,0.4,0.85,0.6,0.49771479419693593,0.9365752827662678,0.7057099230367962,0.09666666666666666,0.09698461805780365
スクリーンショット 2026-01-17 115344.png,0.45,0.8,0.7,0.49430369161174154,0.9479118484656694,0.697784459922589,0.0648103600516073,0.08915462340748993
スクリーンショット 2026-01-17 115521.png,0.55,0.85,0.6,0.6714795178709192,0.7364578345935707,0.7320626475355102,0.1223614436042862,0.12259641030826895
スクリーンショット 2026-01-17 120256.png,0.45,0.85,0.55,0.49673870354523114,0.9458842917466814,0.6973770047080876,0.09666666666666672,0.1050369543376352
スクリーンショット 2026-01-17 121308.png,0.4,0.55,0.85,0.49547252230863587,0.7524372940049591,0.892090183686405,0.1133333333333333,0.1314882048991195
スクリーンショット 2026-01-17 121958.png,0.75,0.45,0.85,0.7665750282110473,0.7573072033839405,0.6161177684050121,0.18592148772999187,0.2231691040950092
スクリーンショット 2026-01-17 122043.png,0.55,0.7,0.8,0.49414319469257584,0.7620197518287992,0.8838370534786251,0.0672378702049495,0.06830100988036994
スクリーンショット 2026-01-17 122726.png,0.65,0.75,0.7,0.5045819001778015,0.9020465066045339,0.7333715932176647,0.11027873321479904,0.12298811210902562
スクリーンショット 2026-01-17 123155.png,0.8,0.5,0.75,0.4999769333281218,0.9201040757371896,0.7199189909346886,0.2500693838247931,0.2985554901480259
スクリーンショット 2026-01-17 123230.png,0.6,0.45,0.85,0.5789887673309989,0.7558816895382163,0.8051295431307848,0.12392112635881086,0.17890261577431518
スクリーンショット 2026-01-17 110850.png,0.85,0.4,0.75,0.8198507266271058,0.7683826597202974,0.5517666136525969,0.19892177314686488,0.24215094337366844
スクリーンショット 2026-01-17 110859.png,0.9,0.45,0.7,0.6684368167040775,0.7486614226872926,0.7229017606086298,0.184375455530615,0.21858990819852114
スクリーンショット 2026-01-17 111159.png,0.55,0.8,0.6,0.5252715202484954,0.8837947793695194,0.7309337003819851,0.07981898650100305,0.09087848417186264
スクリーンショット 2026-01-17 113713.png,0.85,0.5,0.65,0.8083352706019618,0.7671856897029004,0.5644790396951379,0.13145712646860022,0.16374571455897924
スクリーンショット 2026-01-17 113936.png,0.7,0.75,0.65,0.5006366903444821,0.7519128699158908,0.8874504397396271,0.1462422064370119,0.179008472463046
スクリーンショット 2026-01-17 120349.png,0.9,0.4,0.75,0.6951493370940631,0.7449090910311751,0.6999415718747619,0.19993939402078334,0.233403742754426
スクリーンショット 2026-01-17 120549.png,0.45,0.85,0.55,0.6708823261715589,0.7454313171802205,0.7236863566482206,0.16637912187985296,0.17309974189019406
スクリーンショット 2026-01-17 120641.png,0.65,0.8,0.6,0.5262522988703502,0.785283880786063,0.8284638203435868,0.12230921356239122,0.15025065158547418
スクリーンショット 2026-01-17 123426.png,0.55,0.5,0.85,0.4969404929523224,0.7618035747251695,0.8812559323225081,0.11537300469845174,0.1552775540039718
スクリーンショット 2026-01-17 123536.png,0.5,0.7,0.8,0.5021797352383477,0.9080462740360014,0.7297739907256511,0.09348400618289936,0.12678025051846367
スクリーンショット 2026-01-17 132022.png,0.85,0.55,0.6,0.6957689881896576,0.7328850487151302,0.7113459630952124,0.14948734120689497,0.15235054922248434
スクリーンショット 2026-01-17 140510.png,0.7,0.8,0.55,0.7070885536990912,0.7361685892601895,0.6967428570407195,0.07255427382654041,0.0924809217857974
スクリーンショット 2026-01-17 140652.png,0.9,0.4,0.75,0.7171538412803237,0.7385703467219091,0.6842758119977672,0.19571356448127275,0.22537543960133696
スクリーンショット 2026-01-17 141324.png,0.8,0.55,0.7,0.6751122062293343,0.7257330991711659,0.7391546945994998,0.11325852918044381,0.1265071451030695
スクリーンショット 2026-01-17 152347.png,0.7,0.45,0.85,0.6221236155651387,0.7673092091910108,0.7505671752438505,0.16487280612734048,0.1971773754170409
